"Target species","orthologs","Nº co-orthologs","CS","EL","Trees","Phylome","Ensembl","EggNOG","OrthoMCL","TreeFAM","Hogenom"
"Cladophialophora psammophila","                                    W9WGM6","","1.000","1","1","","1.00/1","","","",""
"Cladophialophora yegresii","                                    W9W3S9","","1.000","1","1","","1.00/1","","","",""
"Claviceps fusiformis","                                    M!78991362","","1.000","1","2","1.00/2","","","","",""
"Claviceps paspali","                                    M!78965568","","1.000","1","2","1.00/2","","","","",""
"Claviceps purpurea","                                    M1VUD2","","1.000","2","3","1.00/2","1.00/1","","","",""
"Clohesyomyces aquaticus","                                    A0A1Y2A069","","1.000","1","1","","1.00/1","","","",""
"Colletotrichum fructicola","                                    L2FF93","","1.000","1","1","","1.00/1","","","",""
"Colletotrichum graminicola","                                    E3QI14","","1.000","2","15","1.00/14","1.00/1","","","",""
"Colletotrichum higginsianum","                                    A0A4T0VPI3","","1.000","1","1","","1.00/1","","","",""
"Conidiobolus coronatus","                                    A0A137P9T9","","1.000","1","1","","1.00/1","","","",""
"Conidiobolus coronatus","                                    A0A137P9P3","","1.000","1","1","","1.00/1","","","",""
"Coniosporium apollinis","                                    R7YYS3","","1.000","1","1","","1.00/1","","","",""
"Coprinopsis cinerea","                                    A8NFG0","","1.000","1","3","","","1.00/3","","",""
"Coprinopsis cinerea","                                    A8NZU9","","1.000","1","4","","","1.00/4","","",""
"Cordyceps militaris","                                    G3J3K0","","1.000","1","1","","1.00/1","","","",""
"Cordyceps sp. RAO-2017","                                    A0A2C5YCY7","","1.000","1","1","","1.00/1","","","",""
"Corynespora cassiicola","                                    A0A2T2NBL2","","1.000","1","1","","1.00/1","","","",""
"Cryphonectria parasitica","                                    M!43115507","","1.000","1","26","1.00/26","","","","",""
"Cryptococcus gattii VGI","                                    E6RFP0","","1.000","1","4","","","1.00/4","","",""
"Cryptococcus neoformans","                                    Q5K6T7","","1.000","2","6","","","1.00/4","","","1.00/2"
"Cyberlindnera jadinii","                                    A0A0H5C283","","1.000","1","1","","1.00/1","","","",""
"Cyphellophora europaea","                                    W2RN13","","1.000","1","1","","1.00/1","","","",""
"Dactylellina haptotyla","                                    S8ASZ1","","1.000","1","1","","1.00/1","","","",""
"Diaporthe ampelina","                                    A0A0G2F9W0","","1.000","1","1","","1.00/1","","","",""
"Diplocarpon rosae","                                    M!107266404","","1.000","1","1","","1.00/1","","","",""
"Diplocarpon rosae","                                    M!107267357","","1.000","1","1","","1.00/1","","","",""
"Dothistroma septosporum","                                    N1PCS8","","1.000","1","1","","1.00/1","","","",""
"Elsinoe australis","                                    A0A2P8A0J5","","1.000","1","1","","1.00/1","","","",""
"Emergomyces pasteurianus","                                    A0A1J9QV56","","1.000","1","1","","1.00/1","","","",""
"Emmonsia crescens","                                    A0A0G2HUH6","","1.000","1","1","","1.00/1","","","",""
"Emmonsia sp. CAC-2015a","                                    A0A1B7NM32","","1.000","1","1","","1.00/1","","","",""
"Emmonsia sp. CAC-2015a","                                    A0A1B7P0P1","","1.000","1","1","","1.00/1","","","",""
"Endocarpon pusillum","                                    U1HUH1","","1.000","2","5","1.00/4","1.00/1","","","",""
"Epichloe amarillans","                                    M!80224521","","1.000","1","2","1.00/2","","","","",""
"Epichloe aotearoae","                                    M!95516890","","1.000","1","2","1.00/2","","","","",""
"Epichloe baconii","                                    M!81819311","","1.000","1","2","1.00/2","","","","",""
"Epichloe brachyelytri","                                    M!87765183","","1.000","1","2","1.00/2","","","","",""
"Epichloe elymi","                                    M!83393228","","1.000","1","2","1.00/2","","","","",""
"Epichloe gansuensis","                                    M!103599981","","1.000","1","2","1.00/2","","","","",""
"Epichloe mollis","                                    M!109845426","","1.000","1","2","1.00/2","","","","",""
"Epichloe typhina","                                    M!43029327","","1.000","1","2","1.00/2","","","","",""
"Eremothecium cymbalariae","                                    G8JV67","","1.000","1","5","","","1.00/5","","",""
"Eremothecium gossypii","                                    Q75CX2","","1.000","2","7","","","1.00/5","","","1.00/2"
"Erysiphe necator","                                    A0A0B1PE56","","1.000","1","1","","1.00/1","","","",""
"Eutypa lata","                                    M7SM98","","1.000","1","1","","1.00/1","","","",""
"Exophiala aquamarina","                                    A0A072PRD9","","1.000","1","1","","1.00/1","","","",""
"Exophiala dermatitidis","                                    H6BX49","","1.000","1","1","","1.00/1","","","",""
"Exophiala spinifera","                                    A0A0D2AWX6","","1.000","1","1","","1.00/1","","","",""
"Exserohilum turcicum","                                    R0K9E5","","1.000","1","1","","1.00/1","","","",""
"Fonsecaea erecta","                                    A0A178ZGL7","","1.000","1","1","","1.00/1","","","",""
"Fusarium fujikuroi","                                    S0DYE0","","1.000","1","1","","1.00/1","","","",""
"Fusarium pseudograminearum","                                    K3VA71","","1.000","2","5","1.00/4","1.00/1","","","",""
"Gaeumannomyces tritici","                                    M!75213571","","1.000","2","5","1.00/4","1.00/1","","","",""
"Glarea lozoyensis","                                    S3CJL3","","1.000","2","3","1.00/2","1.00/1","","","",""
"Grosmannia clavigera","                                    F0XEB1","","1.000","1","1","","1.00/1","","","",""
"Hortaea werneckii","                                    A0A3M7HVB0","","1.000","1","1","","1.00/1","","","",""
"Hortaea werneckii","                                    A0A3M7JFB2","","1.000","1","1","","1.00/1","","","",""
"Hydnomerulius pinastri","                                    A0A0C9WEF6","","1.000","1","1","","1.00/1","","","",""
"Hypholoma sublateritium","                                    A0A0D2LDI0","","1.000","1","1","","1.00/1","","","",""
"Komagataella pastoris","                                    F2QSC9","","1.000","1","12","1.00/12","","","","",""
"Komagataella phaffii","                                    M!103969537","","1.000","2","7","","","1.00/5","","","1.00/2"
"Lachancea thermotolerans","                                    C5DNK3","","1.000","2","7","","","1.00/5","","","1.00/2"
"Lentinula edodes","                                    A0A1Q3ED48","","1.000","1","1","","1.00/1","","","",""
"Leptosphaeria maculans","                                    E5A407","","1.000","2","6","","1.00/1","1.00/5","","",""
"Macrophomina phaseolina","                                    K2RW51","","1.000","1","1","","1.00/1","","","",""
"Macrophomina phaseolina","                                    K2QLD2","","1.000","1","1","","1.00/1","","","",""
"Madurella mycetomatis","                                    A0A175WHP8","","1.000","1","1","","1.00/1","","","",""
"Malassezia globosa","                                    A8PST1","","1.000","2","16","1.00/12","","1.00/4","","",""
"Malassezia globosa","                                    A8PST3","","1.000","1","4","","","1.00/4","","",""
"Marssonina brunnea","                                    K1WPE7","","1.000","1","1","","1.00/1","","","",""
"Melampsora larici-populina","                                    F4RFS0","","1.000","1","12","1.00/12","","","","",""
"Metarhizium acridum","                                    E9DVP0","","1.000","2","3","1.00/2","1.00/1","","","",""
"Metarhizium majus","                                    A0A0B4IIY3","","1.000","1","1","","1.00/1","","","",""
"Metarhizium robertsii","                                    E9EWQ7","","1.000","2","3","1.00/2","1.00/1","","","",""
"Meyerozyma guilliermondii","                                    M!41338286","","1.000","1","5","","","1.00/5","","",""
"Microdochium bolleyi","                                    A0A136J0H1","","1.000","1","1","","1.00/1","","","",""
"Moelleriella libera","                                    A0A168A2V1","","1.000","1","1","","1.00/1","","","",""
"Naumovozyma castellii","                                    G0V5M4","","1.000","1","4","","","1.00/4","","",""
"Naumovozyma castellii","                                    G0VKL8","","1.000","1","5","","","1.00/5","","",""
"Naumovozyma dairenensis","                                    G0WGX2","","1.000","1","5","","","1.00/5","","",""
"Naumovozyma dairenensis","                                    G0WAA1","","1.000","1","4","","","1.00/4","","",""
"Neurospora crassa","                                    M!150672430","","1.000","1","36","1.00/36","","","","",""
"Neurospora discreta","                                    M!69228048","","1.000","1","12","1.00/12","","","","",""
"Neurospora tetrasperma","                                    G4UXE3","","1.000","2","13","1.00/12","1.00/1","","","",""
"Oidiodendron maius","                                    A0A0C3C1E7","","1.000","1","1","","1.00/1","","","",""
"Oidiodendron maius","                                    A0A0C3CXA8","","1.000","1","1","","1.00/1","","","",""
"Oidiodendron maius","                                    A0A0C3DG72","","1.000","1","1","","1.00/1","","","",""
"Ophiostoma piceae","                                    S3BTL4","","1.000","1","1","","1.00/1","","","",""
"Paracoccidioides brasiliensis","                                    A0A0A0HS55","","1.000","1","1","","1.00/1","","","",""
"Paracoccidioides brasiliensis","                                    M!156906468","","1.000","1","12","1.00/12","","","","",""
"Paraphaeosphaeria sporulosa","                                    A0A177C536","","1.000","1","1","","1.00/1","","","",""
"Parastagonospora nodorum","                                    Q0U890","","1.000","3","62","1.00/56","1.00/1","1.00/5","","",""
"Penicilliopsis zonata","                                    A0A1L9SPU1","","1.000","1","1","","1.00/1","","","",""
"Penicillium antarcticum","                                    A0A1V6QPS5","","1.000","1","1","","1.00/1","","","",""
"Penicillium brasilianum","                                    A0A0F7VI69","","1.000","1","1","","1.00/1","","","",""
"Penicillium camemberti","                                    A0A0G4P433","","1.000","2","11","1.00/10","1.00/1","","","",""
"Penicillium cf. griseofulvum UFMGCB 6741","                                    M!121559943","1                             ATCC64974_97840","1.000","1","2","1.00/2","","","","",""
"Penicillium chrysogenum","                                    M!115183500","","1.000","1","30","1.00/30","","","","",""
"Penicillium digitatum","                                    K9FE50","","1.000","1","24","1.00/24","","","","",""
"Penicillium expansum","                                    A0A0A2IL28","","1.000","1","34","1.00/34","","","","",""
"Penicillium italicum","                                    A0A0A2KCA7","","1.000","1","20","1.00/20","","","","",""
"Penicillium oxalicum","                                    S7ZX13","","1.000","1","24","1.00/24","","","","",""
"Penicillium roqueforti","                                    W6QJG3","","1.000","1","10","1.00/10","","","","",""
"Penicillium rubens","                                    B6HSM4","","1.000","2","7","","","1.00/5","","","1.00/2"
"Penicillium sp. 'occitanis'","                                    A0A2H3J4U6","","1.000","1","4","1.00/4","","","","",""
"Periconia macrospinosa","                                    A0A2V1DYL8","","1.000","1","1","","1.00/1","","","",""
"Pestalotiopsis fici","                                    W3XDD8","","1.000","1","1","","1.00/1","","","",""
"Phaeoacremonium minimum","                                    R8BRN3","","1.000","1","1","","1.00/1","","","",""
"Phialocephala subalpina","                                    A0A1L7WXM4","","1.000","1","1","","1.00/1","","","",""
"Phialophora americana","                                    A0A0D2FN46","","1.000","1","1","","1.00/1","","","",""
"Pneumocystis carinii","                                    M!39760070","","1.000","1","36","1.00/36","","","","",""
"Pneumocystis carinii","                                    M!39768629","","1.000","1","36","1.00/36","","","","",""
"Polytolypa hystricis","                                    A0A2B7Z0G8","","1.000","1","1","","1.00/1","","","",""
"Pseudocercospora fijiensis","                                    M2ZG43","","1.000","1","1","","1.00/1","","","",""
"Pseudocercospora fijiensis","                                    M!157477554","","1.000","1","36","1.00/36","","","","",""
"Puccinia graminis","                                    E3JR07","","1.000","1","4","","","1.00/4","","",""
"Puccinia triticina","                                    A0A0C4EPF0","","1.000","1","4","","","1.00/4","","",""
"Purpureocillium lilacinum","                                    A0A179HCG7","","1.000","1","1","","1.00/1","","","",""
"Purpureocillium lilacinum","                                    A0A179GME3","","1.000","1","1","","1.00/1","","","",""
"Pyrenophora teres","                                    E3RTG5","","1.000","2","6","","1.00/1","1.00/5","","",""
"Pyrenophora tritici-repentis","                                    A0A2W1DFT2","","1.000","3","32","1.00/26","1.00/1","1.00/5","","",""
"Rasamsonia emersonii","                                    A0A0F4YT47","","1.000","1","1","","1.00/1","","","",""
"Rhynchosporium commune","                                    A0A1E1K3G9","","1.000","1","1","","1.00/1","","","",""
"Rhynchosporium secalis","                                    A0A1E1MVY5","","1.000","1","1","","1.00/1","","","",""
"Rosellinia necatrix","                                    A0A1S7UP57","","1.000","1","1","","1.00/1","","","",""
"Rutstroemia sp. NJR-2017a BBW","                                    A0A2S7Q298","","1.000","1","1","","1.00/1","","","",""
"Rutstroemia sp. NJR-2017a WRK4","                                    A0A2S7QNK8","","1.000","1","1","","1.00/1","","","",""
"Saccharomyces kudriavzevii","                                    M!156883966","","1.000","1","12","1.00/12","","","","",""
"Scheffersomyces stipitis","                                    A3LR89","","1.000","2","7","","","1.00/5","","","1.00/2"
"Schizosaccharomyces japonicus","                                    B6K4M5","","1.000","2","41","1.00/36","","1.00/5","","",""
"Schizosaccharomyces japonicus","                                    B6K1V9","","1.000","2","38","1.00/36","","1.00/2","","",""
"Schizosaccharomyces japonicus","                                    M!150557313","","1.000","1","36","1.00/36","","","","",""
"Schizosaccharomyces japonicus","                                    M!150558777","","1.000","1","2","","","1.00/2","","",""
"Schizosaccharomyces japonicus","                                    M!150559091","","1.000","2","38","1.00/36","","1.00/2","","",""
"Schizosaccharomyces octosporus","                                    S9PX31","","1.000","1","12","1.00/12","","","","",""
"Schizosaccharomyces octosporus","                                    S9PV11","","1.000","1","12","1.00/12","","","","",""
"Schizosaccharomyces octosporus","                                    S9PU05","","1.000","1","12","1.00/12","","","","",""
"Schizosaccharomyces octosporus","                                    S9PZY5","","1.000","1","12","1.00/12","","","","",""
"Schizosaccharomyces pombe","                                    O13967","","1.000","3","47","1.00/40","","1.00/5","","","1.00/2"
"Schizosaccharomyces pombe","                                    Q9P377","","1.000","3","44","1.00/40","","1.00/2","","","1.00/2"
"Schizosaccharomyces pombe","                                    Q10287","","1.000","3","44","1.00/40","","1.00/2","","","1.00/2"
"Schizosaccharomyces pombe","                                    O74475","","1.000","3","47","1.00/40","","1.00/5","","","1.00/2"
"Sclerotinia borealis","                                    W9CNE9","","1.000","1","1","","1.00/1","","","",""
"Sclerotinia sclerotiorum","                                    M!43434710","","1.000","1","56","1.00/56","","","","",""
"Sphaerulina musiva","                                    M3AU45","","1.000","1","1","","1.00/1","","","",""
"Sporothrix brasiliensis","                                    A0A0C2J908","","1.000","1","1","","1.00/1","","","",""
"Sporothrix schenckii","                                    A0A0F2ME71","","1.000","1","1","","1.00/1","","","",""
"Stachybotrys chartarum","                                    A0A084RSD7","","1.000","1","1","","1.00/1","","","",""
"Talaromyces cellulolyticus","                                    A0A510NW54","","1.000","1","1","1.00/1","","","","",""
"Talaromyces islandicus","                                    A0A0U1LX29","","1.000","2","2","1.00/1","1.00/1","","","",""
"Talaromyces marneffei","                                    A0A5Q0PGJ4","","1.000","3","34","1.00/28","1.00/1","1.00/5","","",""
"Talaromyces stipitatus","                                    B8MDC3","","1.000","3","34","1.00/28","1.00/1","1.00/5","","",""
"Talaromyces verruculosus","                                    M!96532429","","1.000","1","1","1.00/1","","","","",""
"Tetrapisispora phaffii","                                    G8BZD3","","1.000","1","5","","","1.00/5","","",""
"Tetrapisispora phaffii","                                    G8BV07","","1.000","1","2","","","1.00/2","","",""
"Thielaviopsis punctulata","                                    A0A0F4ZAN5","","1.000","1","1","","1.00/1","","","",""
"Torrubiella hemipterigena","                                    A0A0A1T9B2","","1.000","1","1","","1.00/1","","","",""
"Torulaspora delbrueckii","                                    G8ZTB8","","1.000","1","5","","","1.00/5","","",""
"Trichoderma asperellum","                                    A0A2T3YZF5","","1.000","1","1","","1.00/1","","","",""
"Trichoderma atroviride","                                    G9PA41","","1.000","2","14","1.00/13","1.00/1","","","",""
"Trichoderma harzianum","                                    A0A0G0AF30","","1.000","1","1","","1.00/1","","","",""
"Trichoderma longibrachiatum","                                    A0A2T4BQG7","","1.000","1","1","","1.00/1","","","",""
"Trichoderma parareesei","                                    A0A2H2ZJH3","","1.000","1","1","","1.00/1","","","",""
"Trichophyton interdigitale","                                    A0A059J2V2","","1.000","1","1","","1.00/1","","","",""
"Trichophyton tonsurans","                                    F2RQ70","","1.000","1","1","","1.00/1","","","",""
"Uncinocarpus reesii","                                    C4JSM1","","1.000","2","3","","1.00/1","1.00/2","","",""
"Vanderwaltozyma polyspora","                                    A7TTQ2","","1.000","2","10","1.00/8","","1.00/2","","",""
"Verticillium dahliae","                                    G2WVJ9","","1.000","1","1","","1.00/1","","","",""
"Verticillium dahliae","                                    G2WVK0","","1.000","2","13","1.00/12","1.00/1","","","",""
"Verticillium longisporum","                                    A0A0G4N8Z7","","1.000","1","1","","1.00/1","","","",""
"Yarrowia lipolytica","                                    Q6C549","","1.000","2","7","","","1.00/5","","","1.00/2"
"Zygosaccharomyces rouxii","                                    C5DNY0","","1.000","2","7","","","1.00/5","","","1.00/2"
"Zymoseptoria tritici","                                    F9XM56","","1.000","2","33","1.00/32","1.00/1","","","",""
"Coccidioides immitis","                                    J3KJV3","","0.984","2","61","1.00/56","","0.80/5","","",""
"Histoplasma capsulatum","                                    A6R6N1","","0.983","3","60","1.00/54","1.00/1","0.80/5","","",""
"Uncinocarpus reesii","                                    C4JSM2","","0.982","3","56","1.00/50","1.00/1","0.80/5","","",""
"Laccaria bicolor","                                    B0D4F0","","0.975","2","40","0.97/36","","1.00/4","","",""
"Ustilago maydis","                                    A0A0D1E2Y1","","0.975","2","40","0.97/36","","1.00/4","","",""
"Laccaria bicolor","                                    B0CSE1","","0.974","2","39","0.97/36","","1.00/3","","",""
"Phanerochaete chrysosporium","                                    M!44036230","","0.974","2","39","0.97/36","","1.00/3","","",""
"Puccinia graminis","                                    M!150774860","","0.974","2","38","0.97/36","","","","","1.00/2"
"Coprinopsis cinerea","                                    M!150822277","","0.972","1","36","0.97/36","","","","",""
"Coprinopsis cinerea","                                    M!150824609","","0.972","1","36","0.97/36","","","","",""
"Phycomyces blakesleeanus","                                    A0A162UV58","","0.972","1","36","0.97/36","","","","",""
"Phycomyces blakesleeanus","                                    M!150549267","","0.972","1","36","0.97/36","","","","",""
"Phycomyces blakesleeanus","                                    M!150549500","","0.972","1","36","0.97/36","","","","",""
"Rhizopus oryzae","                                    I1BU09","","0.972","1","36","0.97/36","","","","",""
"Rhizopus oryzae","                                    I1CB09","","0.972","1","36","0.97/36","","","","",""
"Sporobolomyces roseus","                                    M!78789965","","0.972","1","36","0.97/36","","","","",""
"Fusarium oxysporum","                                    A0A0C4DHQ9","","0.962","3","52","1.00/46","1.00/1","0.60/5","","",""
"Fusarium verticillioides","                                    A0A366PPH6","","0.957","3","46","1.00/40","1.00/1","0.60/5","","",""
"Trichoderma reesei","                                    G0RKG9","","0.956","3","45","1.00/39","1.00/1","0.60/5","","",""
"Candida dubliniensis","                                    B9W729","","0.953","3","43","0.94/36","","1.00/5","","","1.00/2"
"Candida glabrata","                                    E2GKZ4","","0.953","3","43","0.94/36","","1.00/5","","","1.00/2"
"Candida glabrata","                                    E2GKZ6","","0.953","3","43","0.94/36","","1.00/5","","","1.00/2"
"Kluyveromyces lactis","                                    Q6CW93","","0.953","3","43","0.94/36","","1.00/5","","","1.00/2"
"Saccharomyces cerevisiae","                                    P40989","","0.953","3","43","0.94/36","","1.00/5","","","1.00/2"
"Saccharomyces cerevisiae","                                    N1P018","","0.953","3","43","0.94/36","","1.00/5","","","1.00/2"
"Chaetomium globosum","                                    Q2GQK7","","0.952","3","42","1.00/36","1.00/1","0.60/5","","",""
"Pyricularia grisea","                                    M!93945541","","0.952","1","42","1.00/40","","0.00/2","","",""
"Candida tropicalis","                                    C5MF18","","0.951","2","41","0.94/36","","1.00/5","","",""
"Lodderomyces elongisporus","                                    A5DW87","","0.951","2","41","0.94/36","","1.00/5","","",""
"Podospora anserina","                                    B2AKS5","","0.951","2","41","1.00/36","","0.60/5","","",""
"Vanderwaltozyma polyspora","                                    A7TP15","","0.951","2","41","0.94/36","","1.00/5","","",""
"Vanderwaltozyma polyspora","                                    A7TS25","","0.949","3","39","0.94/36","1.00/1","1.00/2","","",""
"Arabidopsis thaliana","                                    W8PV73","","0.947","1","38","1.00/36","","0.00/2","","",""
"Arabidopsis thaliana","                                    Q9S9U0","","0.947","1","38","1.00/36","","0.00/2","","",""
"Debaryomyces hansenii","                                    Q6BVK7","","0.947","2","38","0.94/36","","","","","1.00/2"
"Candida albicans","                                    M!115335283","","0.944","1","36","0.94/36","","","","",""
"Eremothecium gossypii","                                    M!155613405","","0.944","1","36","0.94/36","","","","",""
"Lachancea kluyveri","                                    M!150612741","","0.944","1","36","0.94/36","","","","",""
"Nannizzia gypsea","                                    E5QZJ7","","0.944","3","18","1.00/12","1.00/1","0.80/5","","",""
"Naumovozyma castellii","                                    M!64738893","","0.944","1","36","0.94/36","","","","",""
"Naumovozyma castellii","                                    M!64741948","","0.944","1","36","0.94/36","","","","",""
"Saccharomyces bayanus","                                    M!150608361","","0.944","1","36","0.94/36","","","","",""
"Saccharomyces bayanus","                                    M!150608950","","0.944","1","36","0.94/36","","","","",""
"Saccharomyces bayanus","                                    M!150608951","","0.944","1","36","0.94/36","","","","",""
"Saccharomyces mikatae","                                    M!92063005","","0.944","1","36","0.94/36","","","","",""
"Saccharomyces paradoxus","                                    M!64891164","","0.944","1","36","0.94/36","","","","",""
"Saccharomyces paradoxus","                                    M!154771943","","0.944","1","36","0.94/36","","","","",""
"Yarrowia lipolytica","                                    M!150618806","","0.944","1","36","0.94/36","","","","",""
"Botrytis cinerea","                                    M!156057624","","0.931","2","29","1.00/24","","0.60/5","","",""
"Fusarium graminearum","                                    I1RUP6","","0.923","3","26","1.00/20","1.00/1","0.60/5","","",""
"Pyricularia oryzae","                                    A0A4P7NJU6","","0.895","2","19","1.00/16","1.00/1","0.00/2","","",""
"Trichoderma virens","                                    G9N1T2","","0.895","3","19","1.00/13","1.00/1","0.60/5","","",""
"Microsporum canis","                                    C5FL53","","0.875","3","8","1.00/2","1.00/1","0.80/5","","",""
"Trichophyton rubrum","                                    M!45651620","","0.875","3","8","1.00/2","1.00/1","0.80/5","","",""
"Coccidioides posadasii","                                    E9DJF9","","0.833","2","6","","1.00/1","0.80/5","","",""
"Neurospora crassa","                                    Q7S0A7","","0.833","4","12","1.00/4","1.00/1","0.60/5","","","1.00/2"
"Paracoccidioides lutzii","                                    M!107837738","","0.833","2","6","","1.00/1","0.80/5","","",""
"Trichophyton benhamiae","                                    D4ATC5","","0.833","2","6","","1.00/1","0.80/5","","",""
"Trichophyton verrucosum","                                    D4D985","","0.833","2","6","","1.00/1","0.80/5","","",""
"Tuber melanosporum","                                    D5GGS4","","0.833","2","6","","1.00/1","0.80/5","","",""
"Sordaria macrospora","                                    F7W3H8","","0.667","2","6","","1.00/1","0.60/5","","",""
"Thermothielavioides terrestris","                                    G2R840","","0.667","2","6","","1.00/1","0.60/5","","",""
"Botrytis cinerea","                                    M!156057619","","0.600","1","5","","","0.60/5","","",""
"Botrytis cinerea","                                    M!156057625","","0.600","1","5","","","0.60/5","","",""
"Fusarium graminearum","                                    M!150890661","","0.600","1","5","","","0.60/5","","",""
"Zymoseptoria tritici","                                    M!107971359","","0.600","1","5","","","0.60/5","","",""
"Arabidopsis lyrata","                                    D7M019","","0.500","1","2","","","0.50/2","","",""
"Chlamydomonas reinhardtii","                                    A8JH88","","0.500","1","2","","","0.50/2","","",""
"Chlamydomonas reinhardtii","                                    A8JK32","","0.500","1","2","","","0.50/2","","",""
"Chlamydomonas reinhardtii","                                    A8IRI5","","0.500","1","2","","","0.50/2","","",""
"Chlamydomonas reinhardtii","                                    A8IRK0","","0.500","1","2","","","0.50/2","","",""
"Chlamydomonas reinhardtii","                                    A8IWZ7","","0.500","1","2","","","0.50/2","","",""
"Chlamydomonas reinhardtii","                                    A8J9S3","","0.500","1","2","","","0.50/2","","",""
"Chlamydomonas reinhardtii","                                    A8INK5","","0.500","1","2","","","0.50/2","","",""
"Chlamydomonas reinhardtii","                                    A8HT27","","0.500","1","2","","","0.50/2","","",""
"Naegleria gruberi","                                    D2VUL3","","0.500","1","2","","","0.50/2","","",""
"Oryza sativa","                                    M!150191319","","0.500","1","2","","","0.50/2","","",""
"Oryza sativa","                                    M!150191417","","0.500","1","2","","","0.50/2","","",""
"Oryza sativa","                                    M!150201723","","0.500","1","2","","","0.50/2","","",""
"Oryza sativa","                                    Q2R7W9","","0.500","1","2","","","0.50/2","","",""
"Ostreococcus sp. 'lucimarinus'","                                    A4S002","","0.500","1","2","","","0.50/2","","",""
"Ostreococcus sp. 'lucimarinus'","                                    A4S003","","0.500","1","2","","","0.50/2","","",""
"Ostreococcus tauri","                                    M!156499253","","0.500","1","2","","","0.50/2","","",""
"Zea mays","                                    M!150484494","","0.500","1","2","","","0.50/2","","",""
"Zea mays","                                    M!150495803","","0.500","1","2","","","0.50/2","","",""
"Zea mays","                                    M!150533011","","0.500","1","2","","","0.50/2","","",""
